movie_id,tmdb_id,userid,rating
622,12,1,3
2201,198663,1,5
2172,244786,1,5
2119,157336,1,5
2745,313369,1,2
1584,27205,1,4
3316,568160,1,5
23,807,1,5
275,603,1,4
318,550,1,5
559,129,1,5
373,98,1,5
866,4935,1,5
239,637,2,5
484,671,2,1
1274,155,2,1
483,585,2,5
1820,77338,2,5
559,129,2,5
630,22,2,3
622,12,2,5
494,120,2,2
1702,10195,3,2
3659,634649,3,1
373,98,3,5
484,671,3,1
683,122,3,4
1820,77338,3,5
185,597,3,4
0,862,3,5
176,37165,3,1
336,497,5,5
318,550,5,2
523,557,5,4
483,585,5,4
596,598,5,3
484,671,5,5
239,637,5,5
1134,1271,5,5
23,807,5,2
181,489,5,4
275,603,5,5
185,597,5,2
494,120,5,5
1274,155,5,5
622,12,5,3
630,22,5,3
373,98,5,2
559,129,5,4
899,272,5,5
1801,70160,6,5
0,862,6,5
3316,568160,6,5
2119,157336,6,5
1420,16869,6,5
483,585,6,4
1515,19995,6,5
1303,10681,6,5
1134,1271,6,5
373,98,6,5
630,22,7,5
2449,259316,7,2
2172,244786,7,4
2119,157336,7,4
1303,10681,7,4
2810,263115,7,4
2219,245891,7,3
2081,106646,7,4
3293,496243,7,4
2324,299536,7,4
1452,767,7,5
1802,49026,7,5
1732,12445,7,4
963,674,7,5
1176,675,7,5
3659,634649,7,4
622,12,7,5
1274,155,7,5
483,585,7,5
1637,12444,7,5
2038,122906,7,4
0,862,7,5
1231,6479,7,4
2321,293660,7,4
494,120,8,1
866,4935,8,5
2172,244786,8,5
2901,346364,8,5
1802,49026,8,5
2567,297762,8,5
733,673,8,4
275,603,8,1
1515,19995,8,1
3293,496243,8,5
2745,313369,8,5
2038,122906,8,5
559,129,8,5
559,129,9,5
181,489,9,3
630,22,9,1
1274,155,9,5
494,120,9,5
1820,77338,9,5
336,497,9,4
3064,383498,9,5
3659,634649,9,5
899,272,9,1
586,121,9,5
683,122,9,1
622,12,9,4
318,550,9,1
373,98,9,2
2119,157336,10,5
1584,27205,10,5
239,637,10,5
2567,297762,10,1
2172,244786,10,5
1274,155,10,5
523,557,10,5
181,489,10,4
275,603,10,5
1274,155,11,5
622,12,11,5
630,22,11,5
899,272,11,5
523,557,11,5
318,550,11,5
239,637,11,1
1702,10195,11,5
2038,122906,12,5
181,489,12,4
1938,49051,12,1
1820,77338,12,4
2901,346364,12,4
622,12,12,5
2087,152601,12,5
2322,284054,13,5
3293,496243,13,5
866,4935,13,5
2325,299534,13,5
0,862,13,5
2810,263115,13,5
2327,283995,13,5
733,673,13,5
559,129,13,5
1802,49026,14,5
3316,568160,14,5
2172,244786,14,5
899,272,14,5
181,489,14,5
1274,155,14,5
483,585,14,4
2321,293660,14,4
2087,152601,14,2
3293,496243,14,4
2219,245891,14,3
2119,157336,14,5
523,557,15,5
559,129,15,5
2318,99861,15,5
3316,568160,15,5
2119,157336,15,5
622,12,15,5
2081,106646,15,4
1231,6479,15,4
1303,10681,16,5
2178,118340,16,5
2325,299534,16,4
2326,284053,16,3
2315,76341,16,4
0,862,16,4
275,603,16,5
