movielens_id,tmdb_id
58559,155
5618,129
7153,122
3147,497
109487,157336
202439,496243
4993,120
163134,372058
79132,27205
5952,121
2959,550
2324,637
47,807
195159,324857
112552,244786
6016,598
31658,4935
36086,19404
5995,423
2329,73
92259,77338
286897,569094
3000,128
2571,603
122912,299536
122914,299534
3578,98
68157,16869
74458,11324
99114,68718
166291,378064
177765,354912
194448,490132
48780,1124
2028,857
27773,670
163645,324786
4226,77
1682,37165
48516,1422
204698,475557
281096,315162
1704,489
88810,50014
50,629
60069,10681
274053,361743
198147,527641
214612,637920
88125,12445
7361,38
104879,146233
168492,398818
208939,508965
225173,508442
243642,791373
218801,696374
2810,10494
106782,106646
180095,406997
231413,635302
109374,120467
177593,359940
56782,7345
89745,24428
8368,673
158783,290098
2542,100
287699,872585
166643,381284
192803,424694
40629,4348
116797,205596
2858,14
3949,641
1,862
6874,24
5989,640
64614,13223
208703,530915
68954,14160
30707,70
249540,337404
165551,334543
203375,359724
96829,103663
205156,515001
140174,264644
167832,411088
263007,634649
97,406
55820,6977
118896,265177
2762,745
73290,28178
112852,118340
778,627
134853,150540
1721,597
2691,10376
4896,671
110,197
105844,76203
31364,11423
16,524
164909,313369
152017,296096
219994,600354
4973,194
112556,210577
170697,400928
44191,752
101962,110420
184997,449176
86781,46738
4144,843
6,949
44555,582
7438,393
8533,11036
285593,447365
1907,10674
104374,122906
2761,10386
4886,585
106100,152532
47099,1402
66097,14836
202749,531428
76093,10191
223041,724089
50872,2062
230415,447362
27156,18491
215,76
106920,152601
6539,22
207313,546554
241272,615457
168252,263115
180985,316029
4995,453
6377,12
1732,115
40815,674
158966,334533
91529,49026
117176,266856
78499,10193
277400,762975
80586,43949
210175,606856
55721,7347
280868,555604
198611,504253
4011,107
209315,331482
96821,84892
27423,40096
254726,438631
194074,470044
142488,314365
157318,381341
55247,5915
4306,808
152081,269149
741,9323
608,275
31410,613
128360,273248
4878,141
183897,399174
64034,14574
247988,508943
73881,20453
48394,1417
237227,527774
72226,10315
33794,272
4848,1018
115667,200727
71033,25376
188829,517814
116897,265195
89774,59440
114554,149871
8961,9806
204836,522924
39183,142
215335,618344
160718,399106
179133,339877
59315,1726
204158,568160
233095,458220
5816,672
79357,31011
81834,12444
215173,678512
63082,12405
134130,286217
1617,2118
7147,587
162082,396535
115617,177572
81845,45269
196937,503314
69844,767
115569,242582
6870,322
196417,166428
54001,675
81591,44214
65261,12429
104913,96721
265550,438695
272079,810693
205441,492188
272993,761053
270698,545611
224052,441130
276231,610150
110102,100402
224264,501929
283873,603692
288135,1010581
120130,92321
267456,785084
193439,538362
263481,522402
112175,82702
26903,37797
174879,38286
122882,76341
122904,293660
276929,766507
4022,8358
49910,1646
8638,80
268642,414906
46578,773
140715,277216
185385,419478
236991,776503
72641,22881
111759,137113
168250,419430
72998,19995
200842,522518
119145,207703
122918,283995
65514,14756
5066,10229
104283,149870
98491,140420
215623,664767
164179,329865
94959,83666
3114,863
278578,49046
156387,369557
208469,522212
81847,38757
117438,242828
52885,4977
122916,284053
210861,522627
82667,49797
5389,9023
64957,4922
3160,334
176371,335984
140956,333339
282161,937278
280218,76600
213353,592350
104728,164558
55442,2011
88129,64690
111921,222935
213207,508439
106489,57158
117444,110416
32,63
115713,264660
205303,379170
286131,502356
89759,60243
48774,9693
4720,1933
286783,792307
37729,3933
168798,255709
191351,466282
166461,277834
2572,4951
49272,36557
139385,281957
1527,18
7143,616
64716,11321
224268,630566
94675,61979
260667,568124
85774,58496
261273,482321
74787,26022
289097,980489
30749,205
169948,382591
115210,228150
7254,1954
111362,127585
284293,882569
199476,491480
188773,505192
7371,553
48304,1579
103688,138843
55052,4347
206857,398978
1688,9444
51255,4638
85342,47931
242894,399566
1625,2649
628,1592
55765,4982
49530,1372
220854,583083
51540,1949
289727,930094
281188,916224
8874,747
27815,5528
1653,782
244334,637649
166528,330459
231701,414419
4016,11688
5444,11544
57504,14069
68237,17431
226270,556984
187593,383498
33493,1895
146309,315465
2357,666
273133,705861
8607,13398
193065,426426
212361,502033
105504,109424
4963,161
3910,16
83132,51739
286903,976573
