movielens_id,tmdb_id,title,genres,overview,runtime,release_date,tagline,vote_count,vote_average,poster_path,backdrop_path,cast,director,keywords,score,movie_id
10,710,GoldenEye,"['Adventure', 'Action', 'Thriller']","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",130,1995-11-16,No limits. No fears. No substitutes.,4278,6.9,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",Martin Campbell,"['computer virus', 'cuba', 'falsely accused', 'secret intelligence service', 'secret identity', 'secret base', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army', 'james bond']",7.076004853736682,0
6,949,Heat,"['Crime', 'Drama', 'Action']",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,170,1995-12-15,A Los Angeles crime saga.,8224,7.931,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,/xKsnZDERG1dk95wuZ5q9iks3OL3.jpg,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",Michael Mann,"['robbery', 'chase', 'obsession', 'detective', 'heist', 'thief', 'honor', 'murder', 'betrayal', 'gang', 'los angeles, california', 'cat and mouse', 'bank robbery', 'criminal mastermind', 'cynical', 'ex-con', 'one last job', 'loner', 'bank job', 'neo-noir', 'crime epic', 'antagonistic', 'assertive', 'authoritarian', 'bold']",7.577607965202879,1
1,862,Toy Story,"['Family', 'Comedy', 'Animation', 'Adventure']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",81,1995-11-22,The adventure takes off when toys come to life!,19723,7.971,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter,"['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', 'hilarious', 'cheerful', 'pixar']",7.757212563902717,2
2,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",104,1995-12-15,It's a jungle in here.,11207,7.2,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,"['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce']",Joe Johnston,"['giant insect', 'board game', 'disappearance', 'jungle', 'recluse', 'stampede', 'based on young adult novel', 'vibrant']",7.191805890832933,3
11,9087,The American President,"['Drama', 'Romance']","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",113,1995-11-17,Why can't the most powerful man in the world have the one thing he wants most?,776,6.53,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,"['Michael Douglas', 'Annette Bening', 'Martin Sheen']",Rob Reiner,"['new love', 'usa president', 'the white house', 'holiday', 'global warming', 'press', 'fossil fuel', 'dating', 'class differences', 'widower', 'wildlife conservation', 'lobbyist', 'father daughter relationship', 'widower with daughter', 'romantic']",7.116798425590068,4
13,21032,Balto,"['Family', 'Animation', 'Adventure', 'Drama']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",78,1995-12-22,His story became a legend. His adventure is one you'll never forget.,2164,7.301,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",Simon Wells,"['wolf', 'pet', 'cartoon', 'villain', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'cartoon wolf', 'pets', 'cartoon animal']",7.207078450675012,5
14,10858,Nixon,"['Drama', 'History']",A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,192,1995-12-22,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",391,6.9,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",Oliver Stone,"['usa president', 'washington dc, usa', 'government', 'presidential election', '1970s', 'watergate scandal', 'biography', 'historical figure', 'richard nixon', '1960s', 'ambiguous', 'disapproving', 'disdainful', 'disheartening', 'earnest', 'empathetic', 'frustrated']",7.165013696514487,6
16,524,Casino,"['Crime', 'Drama']","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",179,1995-11-22,No one stays at the top forever.,6466,7.993,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,"['drug abuse', 'casino', 'based on novel or book', 'poker', 'italian american', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'marriage', 'car bomb', 'rise and fall', 'money', 'murder', 'organized crime', 'mafia', 'jewish american', 'las vegas', 'desert', 'safe deposit box', '1980s', 'dramatic', 'suspenseful', 'brutal violence', 'fbi surveillance']",7.561593896765521,7
21,8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']","Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",105,1995-10-20,Attitude plays a part.,1197,6.5,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg,"['John Travolta', 'Gene Hackman', 'Rene Russo']",Barry Sonnenfeld,"['based on novel or book', 'miami, florida', 'gambling', 'gangster', 'money', 'murder', 'travel', 'mobster', 'mafia', 'business', 'debt', 'hollywood', 'drugs', 'producer', 'con']",7.08347897137104,8
19,9273,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",90,1995-11-10,New animals. New adventures. Same hair.,4504,6.325,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,"['Jim Carrey', 'Ian McNeice', 'Simon Callow']",Steve Oedekerk,"['kidnapping', 'africa', 'indigenous', 'human animal relationship', 'bat', 'stupidity', 'slapstick comedy', 'animals', 'pets']",6.8531423390580635,9
