user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
31,1.66,3.35,2.99,2.46,2.88
65,2.06,4.52,4.62,4.53,1.51
75,1.38,4.36,3.34,2.85,2.19
81,1.85,3.98,3.31,3.37,2.13
110,3.26,2.72,2.87,2.8,3.28
114,3.12,2.91,2.72,2.82,3.13
126,2.51,3.5,2.48,2.71,2.62
137,4.76,1.46,1.98,2.48,4.05
144,2.87,2.61,2.79,2.53,3.45
175,3.36,3.18,2.75,3.06,2.88
177,3.73,2.77,2.52,3.16,2.84
198,2.4,3.79,4.03,3.57,2.51
213,2.84,2.68,3.2,2.83,3.34
215,3.04,3.47,3.36,3.48,2.53
239,2.32,3.51,3.32,3.36,2.31
258,2.72,2.77,2.26,2.26,3.19
298,2.6,2.87,2.85,2.68,3.08
335,3.17,3.13,2.88,2.89,3.06
358,3.75,2.55,3.65,3.69,3.1
408,3.37,2.54,3.28,3.51,2.94
414,2.0,4.24,4.33,4.19,1.97
435,3.0,2.72,3.22,3.06,3.15
446,2.16,4.63,4.78,4.97,1.21
479,2.98,2.68,2.95,2.8,3.3
485,4.33,1.99,2.35,2.78,3.68
490,2.57,2.85,3.47,2.84,3.35
516,2.75,3.05,3.58,3.18,3.13
521,1.56,4.16,4.29,4.16,1.89
531,2.33,4.04,3.76,4.09,1.74
541,3.82,2.86,2.4,3.1,2.86
546,1.66,4.31,4.41,4.33,1.66
614,2.96,3.07,3.01,2.84,3.1
637,2.23,3.6,3.92,3.6,2.49
685,2.91,3.4,3.45,3.69,2.27
712,3.12,2.85,2.97,2.84,3.2
716,4.62,1.28,2.19,2.21,4.39
736,1.47,4.56,4.6,4.57,1.3
796,2.94,2.91,2.49,2.68,2.89
848,3.17,2.93,2.98,3.07,3.03
861,3.66,3.08,2.84,3.12,2.98
929,3.84,2.22,2.27,2.89,3.26
1022,1.92,3.22,3.27,2.86,2.9
1033,4.12,2.93,2.24,3.67,2.43
1049,3.08,3.67,3.92,3.96,2.38
1051,2.92,2.9,3.16,2.91,3.24
1061,3.77,2.34,2.17,2.43,3.72
1078,3.41,2.67,2.29,2.7,3.11
1087,3.26,2.95,2.93,2.96,3.11
1099,3.31,2.33,3.96,3.12,4.04
1122,1.56,3.63,2.77,2.93,2.03
1129,1.07,4.17,4.07,3.7,1.74
1146,3.39,2.84,3.22,3.23,3.15
1167,1.95,3.18,4.78,3.94,2.63
1225,4.52,1.7,1.65,2.02,4.16
1226,3.88,1.9,2.07,1.97,4.19
1227,2.83,3.09,3.0,3.21,2.73
1229,2.31,4.21,3.73,3.73,2.06
1248,2.24,3.4,2.83,2.8,2.66
1283,3.0,3.06,2.56,2.72,2.96
1297,2.59,2.71,2.84,2.66,3.15
1308,4.39,2.83,3.5,4.06,2.99
1313,4.61,2.6,3.55,2.99,4.12
1316,2.01,3.47,2.85,3.1,2.25
1331,3.18,2.82,3.01,3.12,3.05
1361,2.05,3.44,3.82,3.31,2.49
1416,3.0,3.09,3.6,3.18,3.21
1420,3.05,2.95,2.56,2.6,3.13
1437,3.12,2.97,2.98,2.8,3.25
1457,3.64,1.84,1.47,1.35,4.29
1477,4.11,2.0,3.11,2.97,4.02
1492,2.49,3.63,2.82,3.09,2.31
1515,2.93,2.65,2.67,2.57,3.44
1541,2.99,2.89,2.69,2.63,3.15
1609,2.31,3.38,3.71,3.4,2.72
1612,3.16,2.28,3.57,2.92,3.75
1635,1.6,4.38,4.26,4.01,1.81
1636,2.8,4.0,3.61,3.96,1.93
1651,3.53,1.71,2.84,2.28,4.48
1670,3.39,3.67,2.74,3.44,2.39
1674,3.29,2.91,3.13,2.96,3.22
1688,1.51,4.52,4.01,3.69,1.7
1689,2.67,3.25,3.77,2.97,3.41
1751,3.12,2.86,3.21,3.32,2.95
1815,3.21,3.32,4.38,4.18,2.81
1827,3.63,3.1,2.46,3.22,2.59
